Date,School District,New Positive Students 
8/26/2021,West Fargo Public School District,2
8/27/2021,West Fargo Public School District,2
8/28/2021,West Fargo Public School District,1
8/29/2021,West Fargo Public School District,0
8/30/2021,West Fargo Public School District,11
8/31/2021,West Fargo Public School District,7
9/1/2021,West Fargo Public School District,8
9/2/2021,West Fargo Public School District,3
9/3/2021,West Fargo Public School District,3
9/4/2021,West Fargo Public School District,2
9/5/2021,West Fargo Public School District,0
9/6/2021,West Fargo Public School District,10
9/7/2021,West Fargo Public School District,12
9/8/2021,West Fargo Public School District,14
9/9/2021,West Fargo Public School District,7
9/10/2021,West Fargo Public School District,6
9/11/2021,West Fargo Public School District,3
9/12/2021,West Fargo Public School District,5
9/13/2021,West Fargo Public School District,12
9/14/2021,West Fargo Public School District,21
9/15/2021,West Fargo Public School District,14
9/16/2021,West Fargo Public School District,11
9/17/2021,West Fargo Public School District,10
9/18/2021,West Fargo Public School District,1
9/19/2021,West Fargo Public School District,4
9/20/2021,West Fargo Public School District,21
9/21/2021,West Fargo Public School District,18
9/22/2021,West Fargo Public School District,6
9/23/2021,West Fargo Public School District,16
9/24/2021,West Fargo Public School District,9
9/25/2021,West Fargo Public School District,5
9/26/2021,West Fargo Public School District,5
9/27/2021,West Fargo Public School District,19
9/28/2021,West Fargo Public School District,15
9/29/2021,West Fargo Public School District,9
9/30/2021,West Fargo Public School District,15
10/1/2021,West Fargo Public School District,9
10/2/2021,West Fargo Public School District,2
10/3/2021,West Fargo Public School District,2
10/4/2021,West Fargo Public School District,8
10/5/2021,West Fargo Public School District,14
10/6/2021,West Fargo Public School District,10
10/7/2021,West Fargo Public School District,10
10/8/2021,West Fargo Public School District,7
10/9/2021,West Fargo Public School District,0
10/10/2021,West Fargo Public School District,7
10/11/2021,West Fargo Public School District,12
10/12/2021,West Fargo Public School District,7
10/13/2021,West Fargo Public School District,12
10/14/2021,West Fargo Public School District,7
10/15/2021,West Fargo Public School District,8
10/16/2021,West Fargo Public School District,4
10/17/2021,West Fargo Public School District,2
10/18/2021,West Fargo Public School District,19
10/19/2021,West Fargo Public School District,16
10/20/2021,West Fargo Public School District,3
10/21/2021,West Fargo Public School District,16
10/22/2021,West Fargo Public School District,11
10/23/2021,West Fargo Public School District,6
10/24/2021,West Fargo Public School District,4
10/25/2021,West Fargo Public School District,25
10/26/2021,West Fargo Public School District,15
10/27/2021,West Fargo Public School District,12
10/28/2021,West Fargo Public School District,17
10/29/2021,West Fargo Public School District,7
10/30/2021,West Fargo Public School District,4
10/31/2021,West Fargo Public School District,2
11/1/2021,West Fargo Public School District,20
11/2/2021,West Fargo Public School District,11
11/3/2021,West Fargo Public School District,10
11/4/2021,West Fargo Public School District,14
11/5/2021,West Fargo Public School District,9
11/6/2021,West Fargo Public School District,5
11/7/2021,West Fargo Public School District,3
11/8/2021,West Fargo Public School District,18
11/9/2021,West Fargo Public School District,10
11/10/2021,West Fargo Public School District,6
11/11/2021,West Fargo Public School District,5
11/12/2021,West Fargo Public School District,10
11/13/2021,West Fargo Public School District,5
11/14/2021,West Fargo Public School District,4
11/15/2021,West Fargo Public School District,26
11/16/2021,West Fargo Public School District,9
11/17/2021,West Fargo Public School District,12
11/18/2021,West Fargo Public School District,9
11/19/2021,West Fargo Public School District,10
11/20/2021,West Fargo Public School District,3
11/21/2021,West Fargo Public School District,0
11/22/2021,West Fargo Public School District,25
11/23/2021,West Fargo Public School District,12
11/24/2021,West Fargo Public School District,23
11/25/2021,West Fargo Public School District,3
11/26/2021,West Fargo Public School District,11
11/27/2021,West Fargo Public School District,4
11/28/2021,West Fargo Public School District,4
11/29/2021,West Fargo Public School District,25
11/30/2021,West Fargo Public School District,20
12/1/2021,West Fargo Public School District,14
12/2/2021,West Fargo Public School District,21
12/3/2021,West Fargo Public School District,5
12/4/2021,West Fargo Public School District,3
12/5/2021,West Fargo Public School District,2
12/6/2021,West Fargo Public School District,8
12/7/2021,West Fargo Public School District,10
12/8/2021,West Fargo Public School District,18
12/9/2021,West Fargo Public School District,4
12/10/2021,West Fargo Public School District,18
12/11/2021,West Fargo Public School District,2
12/12/2021,West Fargo Public School District,2
12/13/2021,West Fargo Public School District,23
12/14/2021,West Fargo Public School District,9
12/15/2021,West Fargo Public School District,12
12/16/2021,West Fargo Public School District,7
12/17/2021,West Fargo Public School District,6
12/18/2021,West Fargo Public School District,0
12/19/2021,West Fargo Public School District,2
12/20/2021,West Fargo Public School District,8
12/21/2021,West Fargo Public School District,12
12/22/2021,West Fargo Public School District,3
12/23/2021,West Fargo Public School District,16
12/24/2021,West Fargo Public School District,0
12/25/2021,West Fargo Public School District,0
12/26/2021,West Fargo Public School District,1
12/27/2021,West Fargo Public School District,8
12/28/2021,West Fargo Public School District,13
12/29/2021,West Fargo Public School District,15
12/30/2021,West Fargo Public School District,15
12/31/2021,West Fargo Public School District,4
1/1/2022,West Fargo Public School District,2
1/2/2022,West Fargo Public School District,1
1/3/2022,West Fargo Public School District,31
1/4/2022,West Fargo Public School District,18
1/5/2022,West Fargo Public School District,7
1/6/2022,West Fargo Public School District,23
1/7/2022,West Fargo Public School District,23
1/8/2022,West Fargo Public School District,4
1/9/2022,West Fargo Public School District,6
1/10/2022,West Fargo Public School District,51
1/11/2022,West Fargo Public School District,46
1/12/2022,West Fargo Public School District,55
1/13/2022,West Fargo Public School District,33
1/14/2022,West Fargo Public School District,39
1/15/2022,West Fargo Public School District,8
1/16/2022,West Fargo Public School District,15
1/17/2022,West Fargo Public School District,62
1/18/2022,West Fargo Public School District,54
1/19/2022,West Fargo Public School District,46
1/20/2022,West Fargo Public School District,55
1/21/2022,West Fargo Public School District,55
1/22/2022,West Fargo Public School District,7
1/23/2022,West Fargo Public School District,11
1/24/2022,West Fargo Public School District,62
1/25/2022,West Fargo Public School District,51
1/26/2022,West Fargo Public School District,37
1/27/2022,West Fargo Public School District,50
1/28/2022,West Fargo Public School District,27
1/29/2022,West Fargo Public School District,6
1/30/2022,West Fargo Public School District,6
1/31/2022,West Fargo Public School District,31
2/1/2022,West Fargo Public School District,21
2/2/2022,West Fargo Public School District,20
2/3/2022,West Fargo Public School District,12
2/4/2022,West Fargo Public School District,1
2/5/2022,West Fargo Public School District,3
2/6/2022,West Fargo Public School District,1
2/7/2022,West Fargo Public School District,7
2/8/2022,West Fargo Public School District,8
2/9/2022,West Fargo Public School District,13
2/10/2022,West Fargo Public School District,5
2/11/2022,West Fargo Public School District,2
2/12/2022,West Fargo Public School District,0
2/13/2022,West Fargo Public School District,1
2/14/2022,West Fargo Public School District,4
2/15/2022,West Fargo Public School District,7
2/16/2022,West Fargo Public School District,4
2/17/2022,West Fargo Public School District,8
2/18/2022,West Fargo Public School District,0
2/19/2022,West Fargo Public School District,0
2/20/2022,West Fargo Public School District,1
2/21/2022,West Fargo Public School District,0
2/22/2022,West Fargo Public School District,1
2/23/2022,West Fargo Public School District,2
2/24/2022,West Fargo Public School District,0
2/25/2022,West Fargo Public School District,0
2/26/2022,West Fargo Public School District,1
2/27/2022,West Fargo Public School District,0
2/28/2022,West Fargo Public School District,2
3/1/2022,West Fargo Public School District,1
3/2/2022,West Fargo Public School District,3
8/26/2021,Fargo Public School District,1
8/27/2021,Fargo Public School District,5
8/28/2021,Fargo Public School District,0
8/29/2021,Fargo Public School District,1
8/30/2021,Fargo Public School District,7
8/31/2021,Fargo Public School District,4
9/1/2021,Fargo Public School District,5
9/2/2021,Fargo Public School District,3
9/3/2021,Fargo Public School District,9
9/4/2021,Fargo Public School District,7
9/5/2021,Fargo Public School District,1
9/6/2021,Fargo Public School District,3
9/7/2021,Fargo Public School District,6
9/8/2021,Fargo Public School District,9
9/9/2021,Fargo Public School District,7
9/10/2021,Fargo Public School District,4
9/11/2021,Fargo Public School District,2
9/12/2021,Fargo Public School District,1
9/13/2021,Fargo Public School District,7
9/14/2021,Fargo Public School District,12
9/15/2021,Fargo Public School District,3
9/16/2021,Fargo Public School District,10
9/17/2021,Fargo Public School District,4
9/18/2021,Fargo Public School District,0
9/19/2021,Fargo Public School District,2
9/20/2021,Fargo Public School District,5
9/21/2021,Fargo Public School District,5
9/22/2021,Fargo Public School District,6
9/23/2021,Fargo Public School District,1
9/24/2021,Fargo Public School District,9
9/25/2021,Fargo Public School District,3
9/26/2021,Fargo Public School District,1
9/27/2021,Fargo Public School District,10
9/28/2021,Fargo Public School District,12
9/29/2021,Fargo Public School District,8
9/30/2021,Fargo Public School District,12
10/1/2021,Fargo Public School District,9
10/2/2021,Fargo Public School District,3
10/3/2021,Fargo Public School District,3
10/4/2021,Fargo Public School District,20
10/5/2021,Fargo Public School District,11
10/6/2021,Fargo Public School District,9
10/7/2021,Fargo Public School District,7
10/8/2021,Fargo Public School District,9
10/9/2021,Fargo Public School District,5
10/10/2021,Fargo Public School District,3
10/11/2021,Fargo Public School District,13
10/12/2021,Fargo Public School District,11
10/13/2021,Fargo Public School District,12
10/14/2021,Fargo Public School District,7
10/15/2021,Fargo Public School District,10
10/16/2021,Fargo Public School District,1
10/17/2021,Fargo Public School District,4
10/18/2021,Fargo Public School District,19
10/19/2021,Fargo Public School District,4
10/20/2021,Fargo Public School District,11
10/21/2021,Fargo Public School District,5
10/22/2021,Fargo Public School District,11
10/23/2021,Fargo Public School District,1
10/24/2021,Fargo Public School District,3
10/25/2021,Fargo Public School District,14
10/26/2021,Fargo Public School District,6
10/27/2021,Fargo Public School District,6
10/28/2021,Fargo Public School District,10
10/29/2021,Fargo Public School District,7
10/30/2021,Fargo Public School District,2
10/31/2021,Fargo Public School District,0
11/1/2021,Fargo Public School District,13
11/2/2021,Fargo Public School District,10
11/3/2021,Fargo Public School District,11
11/4/2021,Fargo Public School District,9
11/5/2021,Fargo Public School District,9
11/6/2021,Fargo Public School District,0
11/7/2021,Fargo Public School District,0
11/8/2021,Fargo Public School District,22
11/9/2021,Fargo Public School District,7
11/10/2021,Fargo Public School District,10
11/11/2021,Fargo Public School District,5
11/12/2021,Fargo Public School District,12
11/13/2021,Fargo Public School District,6
11/14/2021,Fargo Public School District,4
11/15/2021,Fargo Public School District,20
11/16/2021,Fargo Public School District,11
11/17/2021,Fargo Public School District,11
11/18/2021,Fargo Public School District,16
11/19/2021,Fargo Public School District,14
11/20/2021,Fargo Public School District,2
11/21/2021,Fargo Public School District,1
11/22/2021,Fargo Public School District,13
11/23/2021,Fargo Public School District,9
11/24/2021,Fargo Public School District,12
11/25/2021,Fargo Public School District,4
11/26/2021,Fargo Public School District,5
11/27/2021,Fargo Public School District,1
11/28/2021,Fargo Public School District,2
11/29/2021,Fargo Public School District,18
11/30/2021,Fargo Public School District,9
12/1/2021,Fargo Public School District,12
12/2/2021,Fargo Public School District,9
12/3/2021,Fargo Public School District,11
12/4/2021,Fargo Public School District,4
12/5/2021,Fargo Public School District,3
12/6/2021,Fargo Public School District,7
12/7/2021,Fargo Public School District,8
12/8/2021,Fargo Public School District,3
12/9/2021,Fargo Public School District,5
12/10/2021,Fargo Public School District,4
12/11/2021,Fargo Public School District,0
12/12/2021,Fargo Public School District,0
12/13/2021,Fargo Public School District,11
12/14/2021,Fargo Public School District,13
12/15/2021,Fargo Public School District,21
12/16/2021,Fargo Public School District,4
12/17/2021,Fargo Public School District,4
12/18/2021,Fargo Public School District,1
12/19/2021,Fargo Public School District,0
12/20/2021,Fargo Public School District,12
12/21/2021,Fargo Public School District,5
12/22/2021,Fargo Public School District,9
12/23/2021,Fargo Public School District,7
12/24/2021,Fargo Public School District,1
12/25/2021,Fargo Public School District,0
12/26/2021,Fargo Public School District,1
12/27/2021,Fargo Public School District,10
12/28/2021,Fargo Public School District,12
12/29/2021,Fargo Public School District,5
12/30/2021,Fargo Public School District,12
12/31/2021,Fargo Public School District,3
1/1/2022,Fargo Public School District,2
1/2/2022,Fargo Public School District,5
1/3/2022,Fargo Public School District,24
1/4/2022,Fargo Public School District,15
1/5/2022,Fargo Public School District,29
1/6/2022,Fargo Public School District,33
1/7/2022,Fargo Public School District,25
1/8/2022,Fargo Public School District,13
1/9/2022,Fargo Public School District,6
1/10/2022,Fargo Public School District,85
1/11/2022,Fargo Public School District,72
1/12/2022,Fargo Public School District,84
1/13/2022,Fargo Public School District,48
1/14/2022,Fargo Public School District,47
1/15/2022,Fargo Public School District,18
1/16/2022,Fargo Public School District,8
1/17/2022,Fargo Public School District,77
1/18/2022,Fargo Public School District,67
1/19/2022,Fargo Public School District,56
1/20/2022,Fargo Public School District,45
1/21/2022,Fargo Public School District,40
1/22/2022,Fargo Public School District,11
1/23/2022,Fargo Public School District,9
1/24/2022,Fargo Public School District,70
1/25/2022,Fargo Public School District,47
1/26/2022,Fargo Public School District,40
1/27/2022,Fargo Public School District,42
1/28/2022,Fargo Public School District,34
1/29/2022,Fargo Public School District,10
1/30/2022,Fargo Public School District,2
1/31/2022,Fargo Public School District,38
2/1/2022,Fargo Public School District,14
2/2/2022,Fargo Public School District,13
2/3/2022,Fargo Public School District,11
2/4/2022,Fargo Public School District,10
2/5/2022,Fargo Public School District,3
2/6/2022,Fargo Public School District,0
2/7/2022,Fargo Public School District,5
2/8/2022,Fargo Public School District,6
2/9/2022,Fargo Public School District,5
2/10/2022,Fargo Public School District,4
2/11/2022,Fargo Public School District,0
2/12/2022,Fargo Public School District,2
2/13/2022,Fargo Public School District,1
2/14/2022,Fargo Public School District,1
2/15/2022,Fargo Public School District,0
2/16/2022,Fargo Public School District,0
2/17/2022,Fargo Public School District,2
2/18/2022,Fargo Public School District,2
2/19/2022,Fargo Public School District,0
2/20/2022,Fargo Public School District,1
2/21/2022,Fargo Public School District,3
2/22/2022,Fargo Public School District,2
2/23/2022,Fargo Public School District,2
2/24/2022,Fargo Public School District,0
2/25/2022,Fargo Public School District,1
2/26/2022,Fargo Public School District,1
2/27/2022,Fargo Public School District,0
2/28/2022,Fargo Public School District,0
3/1/2022,Fargo Public School District,0
3/2/2022,Fargo Public School District,0
